macro_bairro,nome_cliente,bairro_destino,order_datetime,platform,order_mode,distance_km,tempo_preparo_minutos,status,eta_minutes_quote,actual_delivery_minutes,total_brl,classe_pedido,platform_commission_pct,num_itens,satisfacao_nivel
Santo Amaro,Rafaela F. Martins,Chácara Santo Antônio,2024-01-03 09:18:00,ifood,delivery,7.09,20,delivered,51,42.2,100.69,prato_unico,0.12,5,5
Santo Amaro,Mariana Carvalho,Santo Amaro,2024-01-03 12:07:00,site_proprio,delivery,7.02,7,delivered,49,25.4,46.71,prato_unico,0.0,1,5
Brooklin,Natália F. Dias,Brooklin,2024-01-03 13:01:00,ifood,delivery,0.1,16,delivered,32,19.5,127.71,combo,0.12,3,5
Itaim,Mariana V. Ferreira,Itaim Bibi,2024-01-03 13:38:00,site_proprio,delivery,3.69,13,delivered,38,21.8,61.67,prato_unico,0.0,2,5
Pinheiros,Natália Dantas,Pinheiros,2024-01-03 14:08:00,rappi,delivery,6.36,30,delivered,47,46.6,149.99,combo,0.12,4,4
Itaim,Isabela Mendes,Itaim Bibi,2024-01-03 14:40:00,ifood,delivery,3.88,20,delivered,42,42.0,96.2,prato_unico,0.16,6,4
Moema,André J. Ramos,Ibirapuera,2024-01-03 15:38:00,ifood,delivery,3.78,13,delivered,43,25.4,56.82,prato_unico,0.12,1,5
Brooklin,Rafaela S. Xavier,Brooklin,2024-01-03 16:34:00,site_proprio,retirada,0.17,17,delivered,25,19.5,82.88,prato_unico,0.0,1,5
Jardins,Yasmin Miranda,Jardim Paulista,2024-01-03 18:22:00,ifood,delivery,4.91,10,delivered,43,19.8,67.14,prato_unico,0.12,2,5
Vila Mariana,Valentina Gomes,Paraíso,2024-01-03 18:24:00,rappi,delivery,4.6,11,delivered,39,24.3,60.92,prato_unico,0.16,1,5
Vila Mariana,Helena Lopes,Vila Mariana,2024-01-03 18:35:00,site_proprio,delivery,3.03,16,delivered,36,28.0,159.93,combo,0.0,6,5
Morumbi,Henrique Araújo,Morumbi,2024-01-03 19:50:00,ifood,delivery,7.87,16,delivered,55,37.4,100.36,prato_unico,0.12,3,5
Santo Amaro,Felipe N. Gonçalves,Chácara Santo Antônio,2024-01-03 20:19:00,site_proprio,delivery,5.54,34,delivered,45,57.3,222.37,familia,0.0,7,4
Morumbi,Tatiane Ferreira,Real Parque,2024-01-03 20:21:00,ifood,delivery,7.24,15,delivered,44,37.0,100.77,prato_unico,0.16,4,5
Outros,Daniel Castro,Butantã,2024-01-03 22:48:00,site_proprio,retirada,0.03,30,delivered,30,31.6,219.98,familia,0.0,5,5
Vila Olímpia,Yuri Martins,Vila Olímpia,2024-01-04 06:37:00,site_proprio,retirada,0.26,16,delivered,26,15.2,115.3,combo,0.0,2,5
Brooklin,Sabrina Silva,Brooklin,2024-01-04 08:15:00,site_proprio,delivery,0.39,25,delivered,34,38.0,155.9,combo,0.0,4,5
Jardins,Tatiane Carvalho,Jardins,2024-01-04 09:14:00,ifood,delivery,4.54,12,delivered,45,27.9,71.69,prato_unico,0.16,4,5
Jardins,Júlia Ribeiro,Jardins,2024-01-04 10:36:00,site_proprio,delivery,4.77,7,delivered,37,17.9,50.41,prato_unico,0.0,2,5
Vila Olímpia,Nicolas Pereira,Vila Olímpia,2024-01-04 11:53:00,rappi,delivery,3.62,12,delivered,36,29.1,30.57,prato_unico,0.12,1,5
Brooklin,Thiago Barbosa,Campo Belo,2024-01-04 12:13:00,ifood,delivery,1.35,26,delivered,36,26.9,212.56,familia,0.16,5,5
Moema,Carla Y. Almeida,Ibirapuera,2024-01-04 12:54:00,ifood,delivery,4.12,14,delivered,41,29.8,81.16,prato_unico,0.12,1,5
Santo Amaro,Fernanda Y. Machado,Chácara Santo Antônio,2024-01-04 12:56:00,whatsapp,retirada,0.05,8,delivered,21,32.71,124.59,combo,0.0,4,5
Outros,Lucas P. Silva,Bela Vista,2024-01-04 13:16:00,site_proprio,delivery,6.69,7,delivered,41,22.8,45.5,prato_unico,0.0,2,5
Morumbi,Daniela V. Machado,Morumbi,2024-01-04 13:18:00,rappi,delivery,7.84,19,delivered,49,47.4,67.91,prato_unico,0.12,2,5
Morumbi,André Dantas,Real Parque,2024-01-04 17:44:00,ifood,delivery,7.41,29,delivered,50,59.7,130.88,combo,0.12,5,3
Vila Olímpia,Pedro Dias,Vila Olímpia,2024-01-04 18:13:00,site_proprio,delivery,3.92,19,delivered,46,34.5,78.32,prato_unico,0.0,4,5
Brooklin,Yasmin Melo,Campo Belo,2024-01-04 18:33:00,ifood,delivery,1.36,12,delivered,35,17.0,105.43,prato_unico,0.12,5,5
Pinheiros,Helena Borges,Pinheiros,2024-01-04 18:52:00,rappi,delivery,6.04,8,delivered,45,26.9,48.79,prato_unico,0.12,2,5
Vila Mariana,Rafaela Moreira,Vila Mariana,2024-01-04 20:08:00,rappi,delivery,6.23,13,delivered,46,27.1,87.09,prato_unico,0.12,2,5
Moema,João E. Ribeiro,Ibirapuera,2024-01-05 08:38:00,site_proprio,delivery,2.27,23,delivered,35,29.1,147.33,combo,0.0,5,5
Vila Olímpia,Igor Cavalcanti,Vila Olímpia,2024-01-05 10:32:00,ifood,delivery,1.94,33,delivered,39,40.3,167.68,combo,0.12,6,4
Jardins,Caio X. Araújo,Jardim Paulista,2024-01-05 10:47:00,ifood,delivery,4.55,15,delivered,40,36.6,117.82,combo,0.16,3,5
Morumbi,Daniel C. Martins,Morumbi,2024-01-05 11:53:00,site_proprio,retirada,0.09,18,delivered,24,21.7,135.99,combo,0.0,3,5
Santo Amaro,Olívia U. Dias,Santo Amaro,2024-01-05 12:12:00,ifood,delivery,4.77,24,delivered,44,33.1,250.95,familia,0.12,7,5
Brooklin,Bruno C. Oliveira,Brooklin,2024-01-05 13:37:00,site_proprio,delivery,1.75,9,delivered,34,17.2,112.23,combo,0.0,2,5
Itaim,Natália Pereira,Itaim Bibi,2024-01-05 16:46:00,rappi,delivery,4.21,22,delivered,42,36.0,246.07,familia,0.12,7,5
Morumbi,Igor J. Araújo,Real Parque,2024-01-05 18:12:00,ifood,delivery,7.72,6,delivered,48,28.3,81.62,prato_unico,0.16,4,5
Moema,Gustavo Duarte,Ibirapuera,2024-01-05 19:14:00,ifood,delivery,3.6,33,delivered,43,51.1,144.53,combo,0.12,3,4
Outros,Fernanda F. Gomes,Butantã,2024-01-05 19:53:00,ifood,delivery,9.3,16,delivered,52,53.0,107.73,combo,0.12,2,4
Vila Mariana,Henrique K. Xavier,Aclimação,2024-01-05 19:56:00,ifood,delivery,4.29,15,delivered,44,35.1,72.03,prato_unico,0.12,2,5
Itaim,João T. Costa,Itaim Bibi,2024-01-05 20:34:00,site_proprio,retirada,0.04,17,delivered,31,14.6,59.48,prato_unico,0.0,1,5
Pinheiros,Eduarda Vieira,Pinheiros,2024-01-05 20:59:00,ifood,delivery,7.05,11,delivered,44,33.5,111.94,combo,0.16,3,5
Vila Mariana,João K. Marques,Vila Mariana,2024-01-05 21:22:00,ifood,delivery,4.15,13,delivered,40,29.4,70.06,prato_unico,0.16,3,5
Santo Amaro,Patrícia I. Dias,Chácara Santo Antônio,2024-01-06 06:30:00,rappi,delivery,6.88,13,delivered,49,41.6,87.42,prato_unico,0.12,3,5
Outros,Patrícia Ramos,Butantã,2024-01-06 07:58:00,rappi,delivery,4.95,22,delivered,36,33.2,207.26,combo,0.16,9,4
Pinheiros,Eduarda Ribeiro,Pinheiros,2024-01-06 08:03:00,site_proprio,delivery,6.59,15,delivered,45,37.0,169.57,combo,0.0,6,5
Itaim,Pedro Pereira,Itaim Bibi,2024-01-06 08:56:00,site_proprio,delivery,5.49,10,delivered,40,23.3,99.15,combo,0.0,3,5
Vila Mariana,André Xavier,Aclimação,2024-01-06 10:52:00,ifood,delivery,5.02,13,delivered,41,24.6,109.74,prato_unico,0.16,4,5
Brooklin,Yasmin Teixeira,Campo Belo,2024-01-06 11:16:00,ifood,delivery,1.95,16,delivered,31,28.0,68.03,prato_unico,0.12,2,5
Vila Olímpia,Vítor X. Lima,Vila Olímpia,2024-01-06 12:25:00,site_proprio,delivery,3.47,8,delivered,36,26.8,85.41,prato_unico,0.0,3,5
Morumbi,Natália Moreira,Morumbi,2024-01-06 13:36:00,rappi,delivery,8.34,35,delivered,56,65.2,254.41,familia,0.16,9,3
Jardins,Tatiane G. Pereira,Jardim Paulista,2024-01-06 14:28:00,site_proprio,delivery,5.21,17,delivered,45,40.6,115.73,prato_unico,0.0,6,5
Pinheiros,Tatiane F. Borges,Pinheiros,2024-01-06 15:11:00,rappi,delivery,5.94,14,delivered,44,36.5,125.91,combo,0.12,3,5
Brooklin,Felipe S. Borges,Campo Belo,2024-01-06 15:42:00,ifood,delivery,2.18,6,delivered,33,10.4,52.53,prato_unico,0.16,3,5
Moema,Matheus Fernandes,Ibirapuera,2024-01-06 19:25:00,ifood,delivery,3.68,17,delivered,43,32.5,222.72,familia,0.16,5,5
Outros,Vítor Correia,Butantã,2024-01-06 20:10:00,rappi,delivery,7.49,34,delivered,56,69.4,257.39,familia,0.12,6,3
Itaim,Yasmin E. Marques,Itaim Bibi,2024-01-06 20:29:00,ifood,delivery,4.09,28,delivered,43,43.9,149.78,combo,0.16,5,4
Vila Mariana,Larissa Carvalho,Aclimação,2024-01-06 20:36:00,ifood,delivery,5.08,10,delivered,37,35.3,98.4,prato_unico,0.12,3,5
Brooklin,Carla Duarte,Campo Belo,2024-01-06 20:46:00,whatsapp,retirada,0.18,24,delivered,31,13.8,106.35,combo,0.0,1,5
Morumbi,Helena Lima,Morumbi,2024-01-06 21:10:00,ifood,delivery,7.18,6,delivered,47,34.0,67.54,prato_unico,0.16,1,5
Outros,Yuri Oliveira,Liberdade,2024-01-07 07:21:00,site_proprio,delivery,6.17,14,delivered,45,35.9,67.92,prato_unico,0.0,5,5
Santo Amaro,Isabela C. Gonçalves,Chácara Santo Antônio,2024-01-07 07:31:00,ifood,delivery,5.14,12,delivered,39,28.4,125.88,prato_unico,0.12,4,5
Morumbi,João T. Xavier,Real Parque,2024-01-07 08:12:00,rappi,delivery,7.57,6,delivered,47,39.57,77.23,prato_unico,0.16,1,4
Vila Olímpia,Rafaela M. Marques,Vila Olímpia,2024-01-07 08:41:00,ifood,delivery,1.77,41,delivered,38,40.9,228.53,familia,0.16,5,4
Moema,Samuel W. Silva,Moema,2024-01-07 10:06:00,rappi,delivery,4.68,6,delivered,43,20.7,35.22,prato_unico,0.16,2,5
Jardins,Carla H. Vieira,Jardins,2024-01-07 10:08:00,site_proprio,retirada,0.26,8,delivered,18,11.2,110.72,prato_unico,0.0,6,5
Vila Olímpia,Natália Fernandes,Vila Olímpia,2024-01-07 10:39:00,ifood,delivery,4.15,22,delivered,46,45.1,45.94,prato_unico,0.12,1,4
Moema,Júlia X. Barbosa,Ibirapuera,2024-01-07 10:43:00,ifood,delivery,3.16,26,delivered,44,36.3,137.47,combo,0.12,3,5
Vila Mariana,Valentina Carvalho,Aclimação,2024-01-07 11:13:00,site_proprio,delivery,5.38,14,delivered,46,28.8,107.37,prato_unico,0.0,5,5
Vila Mariana,Eduardo Dias,Aclimação,2024-01-07 11:39:00,ifood,delivery,5.22,12,delivered,49,27.7,55.48,prato_unico,0.16,2,5
Moema,Carla Gonçalves,Moema,2024-01-07 12:07:00,site_proprio,delivery,3.59,19,delivered,45,37.1,132.01,combo,0.0,2,5
Brooklin,Helena Mendes,Brooklin,2024-01-07 12:22:00,ifood,delivery,1.03,9,canceled,29,14.9,89.28,prato_unico,0.12,3,5
Brooklin,João Ferreira,Brooklin,2024-01-07 18:20:00,ifood,delivery,0.86,11,delivered,34,12.3,73.44,prato_unico,0.16,1,5
Brooklin,Igor Z. Rocha,Campo Belo,2024-01-07 18:44:00,whatsapp,retirada,0.13,18,delivered,31,22.7,64.53,prato_unico,0.0,1,5
Brooklin,Otávio Carvalho,Brooklin,2024-01-07 19:53:00,ifood,delivery,1.53,20,delivered,34,27.5,74.77,prato_unico,0.16,4,5
Moema,Olívia Rocha,Moema,2024-01-07 20:09:00,ifood,delivery,4.57,21,delivered,37,42.8,141.47,combo,0.12,3,4
Brooklin,Olívia T. Ferreira,Brooklin,2024-01-07 20:52:00,whatsapp,retirada,0.88,15,delivered,20,13.2,107.94,combo,0.0,2,5
Moema,Yasmin Barbosa,Ibirapuera,2024-01-07 21:28:00,rappi,delivery,4.63,25,delivered,39,40.9,119.15,combo,0.12,4,4
Morumbi,Bruna Z. Xavier,Morumbi,2024-01-07 21:38:00,site_proprio,delivery,7.69,6,delivered,51,29.6,85.08,prato_unico,0.0,2,5
Morumbi,Yasmin Dias,Morumbi,2024-01-08 07:32:00,site_proprio,retirada,0.28,25,delivered,34,20.9,271.49,familia,0.0,7,5
Outros,Helena F. Xavier,Butantã,2024-01-08 07:53:00,ifood,delivery,6.61,9,delivered,45,32.9,86.58,prato_unico,0.16,4,5
Vila Olímpia,Rafael Pereira,Vila Olímpia,2024-01-08 09:34:00,rappi,delivery,3.27,8,delivered,41,20.7,98.79,prato_unico,0.12,2,5
Jardins,Ana P. Ferreira,Jardins,2024-01-08 10:01:00,whatsapp,retirada,0.17,14,delivered,21,15.9,112.57,combo,0.0,2,5
Brooklin,Bruno A. Oliveira,Brooklin,2024-01-08 10:39:00,ifood,delivery,1.59,13,delivered,36,18.3,144.69,combo,0.16,6,5
Morumbi,Otávio Q. Fernandes,Morumbi,2024-01-08 12:31:00,rappi,delivery,5.98,25,delivered,47,39.8,150.54,combo,0.16,6,5
Brooklin,Matheus Ribeiro,Brooklin,2024-01-08 13:29:00,rappi,delivery,1.36,16,delivered,27,19.9,137.36,combo,0.12,2,5
Itaim,Thiago Pereira,Itaim Bibi,2024-01-08 17:51:00,ifood,delivery,4.22,18,delivered,41,31.8,72.7,prato_unico,0.12,3,5
Itaim,Larissa M. Martins,Itaim Bibi,2024-01-08 19:15:00,whatsapp,retirada,0.29,18,delivered,23,16.5,95.43,prato_unico,0.0,3,5
Vila Olímpia,Gabriela Ferreira,Vila Olímpia,2024-01-08 19:21:00,site_proprio,delivery,2.7,19,delivered,37,31.5,126.81,combo,0.0,4,5
Itaim,Daniel B. Souza,Itaim Bibi,2024-01-08 19:44:00,ifood,delivery,5.75,18,delivered,41,40.5,117.5,combo,0.12,3,4
Moema,Rafael B. Ribeiro,Moema,2024-01-08 19:50:00,rappi,delivery,3.08,18,delivered,35,39.2,129.85,combo,0.12,2,4
Pinheiros,Júlia L. Ribeiro,Pinheiros,2024-01-09 03:38:00,whatsapp,retirada,0.13,6,delivered,18,7.8,49.1,prato_unico,0.0,1,5
Brooklin,André Marques,Campo Belo,2024-01-09 09:07:00,ifood,delivery,0.1,26,delivered,33,30.2,134.73,combo,0.16,4,4
Itaim,Valentina Gonçalves,Itaim Bibi,2024-01-09 09:19:00,ifood,delivery,2.4,19,delivered,34,28.3,152.19,combo,0.16,4,5
Moema,Samuel Lopes,Moema,2024-01-09 10:10:00,ifood,delivery,2.94,6,delivered,36,6.6,98.76,prato_unico,0.16,3,5
Vila Olímpia,Carla Xavier,Vila Olímpia,2024-01-09 11:10:00,whatsapp,retirada,0.18,12,delivered,25,13.5,79.27,prato_unico,0.0,2,5
Morumbi,Eduarda W. Castro,Real Parque,2024-01-09 11:37:00,rappi,delivery,8.37,24,delivered,54,53.9,139.38,combo,0.12,5,4
Vila Mariana,Daniela B. Barbosa,Paraíso,2024-01-09 12:12:00,ifood,delivery,3.34,11,delivered,38,35.3,61.14,prato_unico,0.16,2,4
Vila Mariana,Patrícia Moreira,Vila Mariana,2024-01-09 12:15:00,rappi,delivery,5.21,7,delivered,39,23.7,56.8,prato_unico,0.16,1,5
Morumbi,Caio Duarte,Real Parque,2024-01-09 12:49:00,rappi,delivery,8.24,8,delivered,51,37.1,61.21,prato_unico,0.16,1,5
Moema,Yuri Ribeiro,Ibirapuera,2024-01-09 13:58:00,ifood,delivery,1.64,15,delivered,34,21.7,157.18,combo,0.12,8,5
Pinheiros,Patrícia G. Xavier,Pinheiros,2024-01-09 14:39:00,site_proprio,delivery,6.93,21,delivered,49,39.8,117.65,combo,0.0,1,5
Pinheiros,Mariana Costa,Pinheiros,2024-01-09 15:35:00,rappi,delivery,6.42,11,delivered,42,38.7,100.08,prato_unico,0.16,5,5
Moema,Nicolas B. Carvalho,Ibirapuera,2024-01-09 17:23:00,whatsapp,retirada,0.04,14,delivered,24,19.3,45.46,prato_unico,0.0,2,5
Vila Mariana,André Castro,Aclimação,2024-01-09 18:58:00,ifood,delivery,5.93,12,delivered,46,36.4,135.67,combo,0.12,6,5
Vila Olímpia,Tatiane R. Araújo,Vila Olímpia,2024-01-09 19:40:00,rappi,delivery,3.22,20,delivered,42,27.9,98.44,combo,0.12,1,5
Santo Amaro,Carla Barros,Santo Amaro,2024-01-09 20:48:00,ifood,delivery,6.59,26,delivered,47,57.0,159.71,combo,0.12,6,3
Santo Amaro,Eduardo Marques,Chácara Santo Antônio,2024-01-09 22:34:00,ifood,delivery,6.79,17,delivered,45,33.8,131.94,prato_unico,0.16,5,5
Brooklin,Gustavo L. Ramos,Campo Belo,2024-01-10 00:17:00,ifood,delivery,0.1,26,delivered,33,31.9,164.37,combo,0.16,6,4
Jardins,Pedro Almeida,Jardins,2024-01-10 09:28:00,ifood,delivery,5.79,7,canceled,45,37.5,42.99,prato_unico,0.16,1,5
Morumbi,Lucas Xavier,Real Parque,2024-01-10 09:32:00,whatsapp,retirada,0.2,19,delivered,24,16.4,138.51,combo,0.0,4,5
Brooklin,Pedro Nogueira,Brooklin,2024-01-10 09:45:00,ifood,delivery,0.94,21,delivered,38,23.3,71.52,prato_unico,0.16,2,5
Brooklin,Sabrina Machado,Campo Belo,2024-01-10 11:57:00,ifood,delivery,0.23,29,delivered,35,33.1,228.07,familia,0.16,5,4
Santo Amaro,Nicolas A. Santos,Santo Amaro,2024-01-10 12:18:00,ifood,delivery,5.33,21,canceled,43,37.9,175.51,combo,0.16,7,5
Pinheiros,Isabela Oliveira,Pinheiros,2024-01-10 12:46:00,ifood,delivery,5.88,19,delivered,48,32.3,163.34,combo,0.16,5,5
Santo Amaro,Valentina Moreira,Chácara Santo Antônio,2024-01-10 13:00:00,ifood,delivery,5.72,14,delivered,39,34.3,160.84,combo,0.12,7,5
Brooklin,Patrícia Fernandes,Brooklin,2024-01-10 14:25:00,ifood,delivery,2.05,16,delivered,33,19.0,117.38,prato_unico,0.12,4,5
Pinheiros,Isabela Z. Fernandes,Pinheiros,2024-01-10 14:51:00,ifood,delivery,5.59,9,delivered,38,30.4,90.82,prato_unico,0.12,3,5
Pinheiros,Samuel S. Pereira,Pinheiros,2024-01-10 15:01:00,site_proprio,retirada,0.01,20,delivered,26,17.4,95.39,combo,0.0,1,5
Outros,Olívia Mendes,Butantã,2024-01-10 15:07:00,site_proprio,retirada,0.05,8,delivered,23,16.7,109.55,prato_unico,0.0,3,5
Pinheiros,Rafael E. Ferreira,Pinheiros,2024-01-10 16:03:00,ifood,delivery,5.73,8,delivered,44,23.5,101.3,prato_unico,0.16,5,5
Itaim,Eduarda Miranda,Itaim Bibi,2024-01-10 17:24:00,ifood,delivery,4.07,15,delivered,47,28.1,79.47,prato_unico,0.16,4,5
Vila Olímpia,Gustavo Nogueira,Vila Olímpia,2024-01-10 21:44:00,ifood,delivery,3.17,18,delivered,41,34.2,149.19,combo,0.16,3,5
Santo Amaro,Eduarda F. Moreira,Chácara Santo Antônio,2024-01-11 07:44:00,ifood,delivery,5.24,18,delivered,43,30.7,185.57,combo,0.12,6,5
Outros,Samuel Marques,Butantã,2024-01-11 07:58:00,whatsapp,retirada,0.27,24,delivered,24,28.2,138.7,combo,0.0,4,5
Vila Mariana,Ana E. Araújo,Paraíso,2024-01-11 08:15:00,site_proprio,retirada,0.28,7,delivered,21,14.9,58.05,prato_unico,0.0,2,5
Moema,Patrícia H. Araújo,Ibirapuera,2024-01-11 11:53:00,ifood,delivery,3.37,7,delivered,38,10.6,83.01,prato_unico,0.12,4,5
Brooklin,Eduardo Souza,Campo Belo,2024-01-11 13:14:00,ifood,delivery,2.26,20,delivered,34,30.3,216.72,familia,0.12,4,5
Itaim,Gustavo Lopes,Itaim Bibi,2024-01-11 13:39:00,site_proprio,delivery,3.15,9,delivered,36,21.4,86.37,prato_unico,0.0,2,5
Moema,Vítor Marques,Moema,2024-01-11 16:17:00,whatsapp,retirada,0.03,20,delivered,25,26.0,114.56,prato_unico,0.0,5,5
Vila Olímpia,Rafaela O. Cavalcanti,Vila Olímpia,2024-01-11 17:51:00,ifood,delivery,3.79,25,delivered,44,33.6,131.53,combo,0.16,3,5
Jardins,Bruno Duarte,Jardim Paulista,2024-01-11 19:04:00,site_proprio,delivery,5.68,13,delivered,50,26.2,112.87,prato_unico,0.0,4,5
Pinheiros,Pedro Y. Dias,Pinheiros,2024-01-12 12:02:00,ifood,delivery,4.46,8,delivered,43,25.9,61.71,prato_unico,0.16,2,5
Itaim,Bruno Ribeiro,Itaim Bibi,2024-01-12 12:57:00,ifood,delivery,3.28,18,delivered,40,33.3,129.86,combo,0.16,2,5
Itaim,Gabriela Barbosa,Itaim Bibi,2024-01-12 13:16:00,ifood,delivery,5.25,17,delivered,45,37.0,129.28,combo,0.16,4,5
Jardins,Bruno C. Mendes,Jardins,2024-01-12 13:53:00,ifood,delivery,5.46,7,delivered,38,27.2,82.07,prato_unico,0.16,3,5
Brooklin,Henrique N. Barbosa,Brooklin,2024-01-12 14:51:00,site_proprio,delivery,1.88,11,delivered,35,20.72,97.1,prato_unico,0.0,5,5
Vila Olímpia,Fernanda Silva,Vila Olímpia,2024-01-12 16:13:00,site_proprio,retirada,0.15,31,delivered,31,35.6,233.96,familia,0.0,6,5
Outros,Mariana Rezende,Bela Vista,2024-01-12 16:38:00,ifood,delivery,6.37,26,delivered,50,50.8,115.14,combo,0.16,2,4
Moema,Lucas C. Oliveira,Moema,2024-01-12 18:55:00,ifood,delivery,3.83,17,delivered,43,27.6,93.77,prato_unico,0.12,2,5
Pinheiros,Samuel Souza,Pinheiros,2024-01-12 19:31:00,site_proprio,retirada,0.18,17,delivered,24,28.5,122.61,combo,0.0,4,5
Pinheiros,Eduarda Barros,Pinheiros,2024-01-12 19:36:00,ifood,delivery,6.15,15,delivered,47,38.9,50.9,prato_unico,0.16,1,5
Brooklin,Otávio Miranda,Brooklin,2024-01-12 20:50:00,rappi,delivery,2.6,16,delivered,38,20.1,124.61,prato_unico,0.16,4,5
Itaim,Júlia Batista,Itaim Bibi,2024-01-12 21:39:00,rappi,delivery,2.68,13,delivered,29,26.3,95.07,prato_unico,0.16,3,4
Morumbi,Larissa Rezende,Morumbi,2024-01-12 23:04:00,site_proprio,retirada,0.27,6,delivered,24,2.4,19.02,prato_unico,0.0,1,5
Brooklin,Tatiane Costa,Brooklin,2024-01-13 07:43:00,whatsapp,retirada,0.07,14,delivered,25,19.5,82.72,prato_unico,0.0,4,5
Vila Mariana,João Rezende,Paraíso,2024-01-13 08:55:00,ifood,delivery,4.37,12,delivered,40,33.2,42.42,prato_unico,0.12,2,5
Moema,Lucas F. Barros,Moema,2024-01-13 10:30:00,site_proprio,delivery,3.61,22,delivered,34,31.8,123.34,combo,0.0,4,5
Moema,Gustavo T. Nogueira,Moema,2024-01-13 10:37:00,ifood,delivery,2.58,14,delivered,30,31.6,54.12,prato_unico,0.16,5,4
Vila Olímpia,Caio Gonçalves,Vila Olímpia,2024-01-13 11:28:00,ifood,delivery,3.73,10,delivered,34,25.2,55.95,prato_unico,0.16,1,5
Brooklin,Eduardo Dantas,Brooklin,2024-01-13 12:23:00,ifood,delivery,0.1,8,delivered,33,13.2,49.27,prato_unico,0.12,2,5
Vila Mariana,Eduarda Pereira,Paraíso,2024-01-13 12:34:00,ifood,delivery,5.72,23,delivered,43,53.4,159.3,combo,0.16,6,3
Santo Amaro,Olívia Santos,Chácara Santo Antônio,2024-01-13 13:45:00,ifood,delivery,5.87,18,delivered,44,32.71,50.02,prato_unico,0.12,2,4
Pinheiros,Yasmin X. Ferreira,Pinheiros,2024-01-13 15:21:00,ifood,delivery,6.21,14,delivered,47,33.26,62.44,prato_unico,0.12,1,4
Pinheiros,Olívia Teixeira,Pinheiros,2024-01-13 15:50:00,site_proprio,retirada,0.18,13,delivered,28,10.3,54.18,prato_unico,0.0,1,5
Brooklin,André Oliveira,Brooklin,2024-01-13 17:41:00,rappi,delivery,0.88,18,delivered,37,20.9,136.93,combo,0.16,2,5
Jardins,Helena R. Fernandes,Jardim Paulista,2024-01-13 18:32:00,ifood,delivery,5.14,9,delivered,40,26.2,98.37,prato_unico,0.16,3,5
Moema,Matheus Barbosa,Moema,2024-01-13 18:33:00,site_proprio,delivery,3.22,23,delivered,41,37.5,130.18,combo,0.0,2,5
Moema,Gustavo Santos,Moema,2024-01-13 19:14:00,whatsapp,retirada,0.28,23,delivered,25,27.4,123.5,combo,0.0,3,5
Morumbi,Gustavo Dias,Real Parque,2024-01-13 19:24:00,whatsapp,retirada,0.14,14,delivered,23,19.9,110.98,prato_unico,0.0,3,5
Morumbi,Daniel Fernandes,Morumbi,2024-01-13 20:52:00,rappi,delivery,7.92,23,delivered,53,38.31,95.1,combo,0.16,2,4
